target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,trained_conv1,trained,conv1,50,3136,32,10,5,50,0.96943,0.013126157869238184,0.9636177137387258,0.01562609271332493,0.9686640000000001,0.012063772043534616,0.9627099424012555,0.014400100824706084,0.9478168970286599,0.020211261563269457,1.0,0.838
footwear,trained_conv1,trained,conv1,80,3136,32,10,5,50,0.97577,0.009610904733474288,0.9712509501358545,0.011380067860669387,0.97426,0.008858962946631844,0.9694584658956359,0.010477051389796304,0.9573527401365327,0.01460131816120441,1.0,0.73
footwear,trained_conv1,trained,conv1,110,3136,32,10,5,50,0.9800399999999999,0.0066161830046500706,0.9762965406467946,0.007855115456855329,0.9784280000000001,0.006264934483426995,0.9743901008300014,0.007435621415018106,0.9642225893390123,0.0103892690783189,1.0,0.748
footwear,trained_conv1,trained,conv1,150,3136,32,10,5,50,0.9811,0.00630920933627817,0.9775749708215593,0.007438115259618679,0.9793219999999999,0.006204912142317379,0.9754796631553906,0.007309731031016795,0.9657747078750333,0.010154702073439952,1.0,0.7120000000000001
footwear,trained_conv1,trained,conv1,200,3136,32,10,5,50,0.9824799999999999,0.005415359863294372,0.9792244398362066,0.006372375653624696,0.9807020000000002,0.0054166218103846525,0.9771259370392213,0.006363034993761978,0.9680828653761728,0.008819865602894935,1.0,0.73
footwear,trained_conv2,trained,conv2,10,1568,32,10,5,50,0.9123300000000001,0.03598038155916162,0.8884039701846029,0.05646724683291786,0.9128200000000001,0.03662514470264651,0.8888482508783953,0.056943044579710105,0.8377240210816239,0.0917722385527063,1.0,0.946
footwear,trained_conv2,trained,conv2,20,1568,32,10,5,50,0.9379900000000001,0.017911770727994613,0.9248585488186378,0.022576252964402927,0.938412,0.018737059643434785,0.9251274794441154,0.023903197734150762,0.8936463959472615,0.03514651780980476,1.0,0.8919999999999999
footwear,trained_conv2,trained,conv2,30,1568,32,10,5,50,0.94879,0.013151429657676622,0.9386936171953012,0.016161258869542394,0.9494719999999998,0.013616392281933943,0.9393000223662747,0.017165703281251853,0.9144994835115822,0.025081612691477698,1.0,0.8919999999999999
footwear,trained_conv2,trained,conv2,50,1568,32,10,5,50,0.96521,0.01176734065634411,0.9586063914310913,0.01385303806728807,0.965952,0.009975178173438144,0.9594040242635928,0.011803510266108631,0.943104797581749,0.0164591876328905,1.0,0.91
footwear,trained_conv2,trained,conv2,80,1568,32,10,5,50,0.9715600000000001,0.007544182783943612,0.9661652391505828,0.00898275422832536,0.9719980000000001,0.00671797740455885,0.9666298804164978,0.00804820521359051,0.9532487930117821,0.011328601658477563,1.0,0.9279999999999999
