target,repeat,sampling_seed,projection_seed,sample_size,examples_per_original_class,training_class_counts,condition,family,layer,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_accuracy,test_macro_f1,test_target_f1,true_negative,false_positive,false_negative,true_positive
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_fc,random,fc,128,32,1.0,0.9805,0.9764781875900728,10000,0.9805,0.9765062706390153,0.9668198060234814,6964,36,159,2841
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_conv1,trained,conv1,3136,32,1.0,0.977,0.9722977009500684,10000,0.9776,0.9729935341215845,0.9618398637137989,6953,47,177,2823
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_conv2,trained,conv2,1568,32,1.0,0.9585,0.9511228638704038,10000,0.9574,0.9496092802956104,0.9297956493078444,6753,247,179,2821
footwear,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_fc,trained,fc,128,32,0.1,0.999,0.9988106551030627,10000,0.9979,0.9974992852421355,0.9964982491245623,6991,9,12,2988
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",pixels,pixels,pixels,784,32,1.0,0.876,0.8712024189016683,10000,0.8783,0.8730961489582179,0.847398119122257,5404,596,621,3379
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_conv1,random,conv1,3136,32,1.0,0.883,0.87899172179266,10000,0.8782,0.8745488238056152,0.8531468531468531,5244,756,462,3538
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_conv2,random,conv2,1568,32,1.0,0.912,0.9089852266474707,10000,0.9161,0.9130967262749583,0.8969414076894731,5510,490,349,3651
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",random_fc,random,fc,128,32,0.1,0.909,0.9056658539417161,10000,0.9064,0.9032006618427226,0.8856025421657296,5441,559,377,3623
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_conv1,trained,conv1,3136,32,0.1,0.8885,0.8850804243778947,10000,0.887,0.8838374752640641,0.8646706586826347,5260,740,390,3610
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_conv2,trained,conv2,1568,32,0.1,0.914,0.9107438462552373,10000,0.9112,0.9076674143665178,0.8896071606166086,5534,466,422,3578
tops,1,42,0,80,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",trained_fc,trained,fc,128,32,1.0,0.958,0.9565611308999293,10000,0.956,0.954370052650737,0.9457459926017263,5725,275,165,3835
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",pixels,pixels,pixels,784,32,1.0,0.9445,0.9323005404673519,10000,0.9427,0.9300613937685239,0.9003304922595234,6839,161,412,2588
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_conv1,random,conv1,3136,32,1.0,0.983,0.9796447164868217,10000,0.9833,0.9799432451485863,0.9717380267388729,6962,38,129,2871
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_conv2,random,conv2,1568,32,1.0,0.99,0.9880724621777776,10000,0.9887,0.9865180021478374,0.9810941944119124,6955,45,68,2932
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_fc,random,fc,128,32,1.0,0.982,0.9783627839884601,10000,0.9833,0.9799432451485863,0.9717380267388729,6962,38,129,2871
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_conv1,trained,conv1,3136,32,1.0,0.9845,0.9814856344947713,10000,0.9832,0.9798998091630453,0.9717552118359112,6942,58,110,2890
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_conv2,trained,conv2,1568,32,1.0,0.957,0.9490982096774957,10000,0.9577,0.9498188680605293,0.9299320854729171,6770,230,193,2807
footwear,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_fc,trained,fc,128,32,0.1,0.999,0.9988106551030627,10000,0.9979,0.9974988082118891,0.9964970809007506,6992,8,13,2987
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",pixels,pixels,pixels,784,32,1.0,0.8805,0.875851604747871,10000,0.8836,0.8786585844110306,0.8541718867451766,5427,573,591,3409
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_conv1,random,conv1,3136,32,1.0,0.8835,0.8803402343123095,10000,0.8797,0.8764454127874026,0.8563925032827981,5210,790,413,3587
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_conv2,random,conv2,1568,32,1.0,0.9145,0.9116205762803582,10000,0.9156,0.9125552109199395,0.8962380132776002,5511,489,355,3645
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",random_fc,random,fc,128,32,1.0,0.915,0.9116041864257309,10000,0.9128,0.9093604992390439,0.8917039244908097,5538,462,410,3590
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_conv1,trained,conv1,3136,32,1.0,0.897,0.8945966993416898,10000,0.886,0.8835309302617538,0.8665730337078652,5158,842,298,3702
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_conv2,trained,conv2,1568,32,0.1,0.918,0.9150286363857741,10000,0.9141,0.9109144051396518,0.89406831915156,5516,484,375,3625
tops,1,42,0,110,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",trained_fc,trained,fc,128,32,0.01,0.9585,0.9567977334945872,10000,0.9604,0.9587465604944813,0.9504876219054764,5803,197,199,3801
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",pixels,pixels,pixels,784,32,0.1,0.948,0.9369907764190404,10000,0.946,0.9347648817613482,0.9076923076923077,6805,195,345,2655
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_conv1,random,conv1,3136,32,1.0,0.9865,0.9838745848825428,10000,0.9861,0.9833060543452306,0.9764765611778643,6976,24,115,2885
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_conv2,random,conv2,1568,32,1.0,0.992,0.9904671001752863,10000,0.9926,0.9911904761904762,0.9876666666666667,6963,37,37,2963
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_fc,random,fc,128,32,1.0,0.9825,0.9790358340488603,10000,0.986,0.9832628107880845,0.9764942914707858,6952,48,92,2908
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_conv1,trained,conv1,3136,32,1.0,0.984,0.9808606716708035,10000,0.9829,0.9794709091437543,0.9710806697108066,6958,42,129,2871
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_conv2,trained,conv2,1568,32,1.0,0.9745,0.9699118505716307,10000,0.9735,0.9685626478393387,0.9561040251780686,6849,151,114,2886
footwear,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_fc,trained,fc,128,32,0.1,0.999,0.9988106551030627,10000,0.9979,0.9974992852421355,0.9964982491245623,6991,9,12,2988
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",pixels,pixels,pixels,784,32,1.0,0.8885,0.8845707598065033,10000,0.8869,0.8826224315756495,0.8602150537634409,5389,611,520,3480
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_conv1,random,conv1,3136,32,0.1,0.901,0.8978353477313256,10000,0.8952,0.8920280029907419,0.8735216027033551,5333,667,381,3619
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_conv2,random,conv2,1568,32,1.0,0.914,0.9112185664689043,10000,0.9158,0.9129805704836709,0.8973170731707317,5479,521,321,3679
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",random_fc,random,fc,128,32,1.0,0.927,0.924175617579208,10000,0.9189,0.9158659573112167,0.8998889026046167,5544,456,355,3645
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_conv1,trained,conv1,3136,32,0.1,0.9055,0.9028387284828268,10000,0.8982,0.8953792530851508,0.8782005264417325,5312,688,330,3670
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_conv2,trained,conv2,1568,32,0.1,0.919,0.9162250381641492,10000,0.9138,0.9108736761949254,0.894723986321446,5475,525,337,3663
tops,1,42,0,150,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",trained_fc,trained,fc,128,32,0.1,0.96,0.958501919286233,10000,0.9589,0.9573115450905529,0.9490769421385207,5759,241,170,3830
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",pixels,pixels,pixels,784,32,1.0,0.9585,0.9499905855771041,10000,0.9606,0.9526758196596079,0.9333107650643195,6849,151,243,2757
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_conv1,random,conv1,3136,32,1.0,0.987,0.9844942008311108,10000,0.9849,0.9818897225386757,0.9745061624176937,6963,37,114,2886
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_conv2,random,conv2,1568,32,1.0,0.992,0.9904671001752863,10000,0.9928,0.9914302033627025,0.988003998667111,6963,37,35,2965
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_fc,random,fc,128,32,0.1,0.9855,0.982680109688657,10000,0.9855,0.982680109688657,0.9756915339480302,6945,55,90,2910
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",trained_conv1,trained,conv1,3136,32,1.0,0.9825,0.9791368062205699,10000,0.9812,0.9774587157578108,0.968275396557543,6943,57,131,2869
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",trained_conv2,trained,conv2,1568,32,1.0,0.975,0.9703504810337957,10000,0.9763,0.9717290239109116,0.9603612644254892,6892,108,129,2871
footwear,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",trained_fc,trained,fc,128,32,0.1,0.999,0.9988106551030627,10000,0.9981,0.9977378797711434,0.9968328054675779,6991,9,10,2990
tops,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",pixels,pixels,pixels,784,32,1.0,0.8865,0.8828930775105958,10000,0.8912,0.8875902253749858,0.8674463937621832,5352,648,440,3560
tops,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_conv1,random,conv1,3136,32,1.0,0.9015,0.8988620959008089,10000,0.8957,0.8930122264047979,0.8760546642899584,5271,729,314,3686
tops,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_conv2,random,conv2,1568,32,1.0,0.9135,0.9111241485192538,10000,0.9136,0.9109786267925649,0.895702559150169,5426,574,290,3710
tops,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",random_fc,random,fc,128,32,1.0,0.925,0.9224012970364538,10000,0.9162,0.9133094994457394,0.8974798140445315,5494,506,332,3668
tops,1,42,0,200,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",trained_conv1,trained,conv1,3136,32,0.1,0.902,0.8994582028256348,10000,0.8951,0.8923897619024489,0.8753120171163675,5269,731,318,3682
