source_seed,repeat,sampling_seed,projection_seed,task,task_category,sample_size,condition,family,layer,training_class_counts,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_class_counts,test_accuracy,test_macro_f1,test_balanced_accuracy,test_per_class_f1,test_confusion_matrix
42,7,48,2,footwear_three_way,within_footwear,200,fine_conv2,fine,conv2,"[66, 67, 67]",1568,32,0.1,0.9033333333333333,0.9043432166582731,3000,"[1000, 1000, 1000]",0.894,0.894743459939475,0.894,"[0.9157509157509157, 0.8738229755178908, 0.8946564885496183]","[[875, 85, 40], [26, 928, 46], [10, 111, 879]]"
42,7,48,2,footwear_three_way,within_footwear,200,coarse_conv2,coarse,conv2,"[66, 67, 67]",1568,32,1.0,0.8883333333333333,0.8888176638176638,3000,"[1000, 1000, 1000]",0.8746666666666667,0.8748449507417049,0.8746666666666667,"[0.8659127625201939, 0.8592730661696178, 0.899349023535303]","[[804, 144, 52], [31, 922, 47], [22, 80, 898]]"
42,7,48,2,footwear_three_way,within_footwear,200,random_fc,random,fc,"[66, 67, 67]",128,32,1.0,0.8733333333333333,0.8740468647494343,3000,"[1000, 1000, 1000]",0.863,0.8638756516179029,0.863,"[0.8657187993680885, 0.8443223443223443, 0.881585811163276]","[[822, 132, 46], [52, 922, 26], [25, 130, 845]]"
42,7,48,2,footwear_three_way,within_footwear,200,fine_fc,fine,fc,"[66, 67, 67]",128,32,0.1,0.9633333333333334,0.9634877200094593,3000,"[1000, 1000, 1000]",0.9503333333333334,0.9505399930593824,0.9503333333333334,"[0.9635710620831196, 0.941910705712914, 0.9461382113821138]","[[939, 37, 24], [6, 981, 13], [4, 65, 931]]"
42,7,48,2,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[66, 67, 67]",128,32,1.0,0.8416666666666667,0.8436069847642894,3000,"[1000, 1000, 1000]",0.8453333333333334,0.8462611845300859,0.8453333333333334,"[0.8376344086021505, 0.8245931283905967, 0.8765560165975104]","[[779, 176, 45], [50, 912, 38], [31, 124, 845]]"
42,7,48,3,footwear_three_way,within_footwear,200,constant,constant,constant,"[66, 67, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.0, 0.5, 0.0]","[[0, 1000, 0], [0, 1000, 0], [0, 1000, 0]]"
42,7,48,3,footwear_three_way,within_footwear,200,pixels,pixels,pixels,"[66, 67, 67]",784,32,0.1,0.825,0.8257835921651169,3000,"[1000, 1000, 1000]",0.8126666666666666,0.8132906174776018,0.8126666666666668,"[0.8051679586563307, 0.7888257575757576, 0.8458781362007168]","[[779, 144, 77], [117, 833, 50], [39, 135, 826]]"
42,7,48,3,footwear_three_way,within_footwear,200,random_conv1,random,conv1,"[66, 67, 67]",3136,32,0.1,0.825,0.8243200782232769,3000,"[1000, 1000, 1000]",0.8173333333333334,0.8170160334705793,0.8173333333333334,"[0.7929373996789727, 0.8119180633147114, 0.8461926374180535]","[[741, 159, 100], [84, 872, 44], [44, 117, 839]]"
42,7,48,3,footwear_three_way,within_footwear,200,fine_conv1,fine,conv1,"[66, 67, 67]",3136,32,0.1,0.8483333333333334,0.8490718225316759,3000,"[1000, 1000, 1000]",0.8316666666666667,0.8321567255297858,0.8316666666666667,"[0.8159574468085107, 0.8170173833485819, 0.8634953464322648]","[[767, 174, 59], [67, 893, 40], [46, 119, 835]]"
42,7,48,3,footwear_three_way,within_footwear,200,coarse_conv1,coarse,conv1,"[66, 67, 67]",3136,32,0.1,0.8433333333333334,0.8432293812091908,3000,"[1000, 1000, 1000]",0.8313333333333334,0.8315982811913405,0.8313333333333333,"[0.8137931034482758, 0.8190212373037857, 0.8619805028219599]","[[767, 163, 70], [74, 887, 39], [44, 116, 840]]"
42,7,48,3,footwear_three_way,within_footwear,200,random_conv2,random,conv2,"[66, 67, 67]",1568,32,0.1,0.8666666666666667,0.8677106502612103,3000,"[1000, 1000, 1000]",0.8513333333333334,0.8523605918643348,0.8513333333333334,"[0.8506596306068601, 0.8224385720908669, 0.8839835728952772]","[[806, 151, 43], [69, 887, 44], [20, 119, 861]]"
42,7,48,3,footwear_three_way,within_footwear,200,fine_conv2,fine,conv2,"[66, 67, 67]",1568,32,0.1,0.885,0.8859578190973539,3000,"[1000, 1000, 1000]",0.8786666666666667,0.8791633854725848,0.8786666666666667,"[0.9048106448311156, 0.8587731811697575, 0.8739063304168811]","[[884, 73, 43], [46, 903, 51], [24, 127, 849]]"
42,7,48,3,footwear_three_way,within_footwear,200,coarse_conv2,coarse,conv2,"[66, 67, 67]",1568,32,0.1,0.8533333333333334,0.8544776207356254,3000,"[1000, 1000, 1000]",0.8493333333333334,0.8500014808461059,0.8493333333333334,"[0.8505997818974919, 0.8355114916629113, 0.8638931689779148]","[[780, 154, 66], [33, 927, 40], [21, 138, 841]]"
42,7,48,3,footwear_three_way,within_footwear,200,random_fc,random,fc,"[66, 67, 67]",128,32,1.0,0.8416666666666667,0.8432512978248231,3000,"[1000, 1000, 1000]",0.829,0.8297872076014455,0.8290000000000001,"[0.8215811965811965, 0.8055172413793104, 0.86226318484383]","[[769, 168, 63], [76, 876, 48], [27, 131, 842]]"
42,7,48,3,footwear_three_way,within_footwear,200,fine_fc,fine,fc,"[66, 67, 67]",128,32,0.1,0.97,0.9701142327878974,3000,"[1000, 1000, 1000]",0.961,0.9610959870192083,0.961,"[0.9726996966632963, 0.9526135808500245, 0.9579746835443038]","[[962, 21, 17], [13, 975, 12], [3, 51, 946]]"
42,7,48,3,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[66, 67, 67]",128,32,1.0,0.8316666666666667,0.8334077287958053,3000,"[1000, 1000, 1000]",0.8333333333333334,0.8347375259172249,0.8333333333333334,"[0.8204851752021564, 0.8019846639603068, 0.8817427385892116]","[[761, 199, 40], [73, 889, 38], [21, 129, 850]]"
42,7,48,4,footwear_three_way,within_footwear,200,constant,constant,constant,"[66, 67, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.0, 0.5, 0.0]","[[0, 1000, 0], [0, 1000, 0], [0, 1000, 0]]"
42,7,48,4,footwear_three_way,within_footwear,200,pixels,pixels,pixels,"[66, 67, 67]",784,32,0.1,0.8616666666666667,0.8631197424611329,3000,"[1000, 1000, 1000]",0.842,0.8431697767069272,0.842,"[0.8481012658227848, 0.8175582990397805, 0.863849765258216]","[[804, 148, 48], [65, 894, 41], [27, 145, 828]]"
42,7,48,4,footwear_three_way,within_footwear,200,random_conv1,random,conv1,"[66, 67, 67]",3136,32,0.1,0.8566666666666667,0.8577221501886104,3000,"[1000, 1000, 1000]",0.842,0.8429617017496422,0.842,"[0.8356309650053022, 0.8233695652173914, 0.869884575026233]","[[788, 161, 51], [65, 909, 26], [33, 138, 829]]"
