task,task_category,comparison,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_pairs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,10,128,32,42,10,5,50,-0.07339999999999999,0.07563248051494502,-0.07680157028629014,0.0790653744343942,-0.07340000000000002,0.07563248051494502
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,20,128,32,42,10,5,50,-0.04919333333333334,0.04644339641213575,-0.052079179833245524,0.04926581230844948,-0.04919333333333333,0.046443396412135775
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,30,128,32,42,10,5,50,-0.033440000000000004,0.026831416249597857,-0.034990848554468414,0.027949796312906415,-0.033439999999999984,0.026831416249597846
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,50,128,32,42,10,5,50,-0.02253333333333334,0.021281292818724172,-0.023517872208398717,0.021961925431550487,-0.02253333333333334,0.021281292818724176
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,80,128,32,42,10,5,50,-0.01732,0.019499748239551598,-0.017503765641507473,0.01987746459974189,-0.01732,0.019499748239551622
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,110,128,32,42,10,5,50,-0.015653333333333328,0.019704962138502542,-0.015582534971480676,0.019955779055425876,-0.015653333333333325,0.01970496213850254
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,150,128,32,42,10,5,50,-0.012826666666666658,0.014469020780905556,-0.012736362716599798,0.014454122572787097,-0.01282666666666666,0.014469020780905563
footwear_three_way,within_footwear,coarse_minus_random,coarse,fc,200,128,32,42,10,5,50,-0.013093333333333323,0.013868190654088246,-0.012960731535901967,0.013879261052260242,-0.013093333333333308,0.013868190654088244
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,10,3136,32,42,10,5,50,-0.027200000000000005,0.03668329863974845,-0.02977333529382845,0.03855531348483915,-0.027199999999999988,0.03668329863974845
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,20,3136,32,42,10,5,50,-0.01599333333333334,0.027074223166892567,-0.01813886333592897,0.029308483983496815,-0.01599333333333332,0.027074223166892574
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,30,3136,32,42,10,5,50,-0.01473333333333333,0.024680543991182212,-0.015611361905257987,0.02613212781306299,-0.014733333333333334,0.024680543991182205
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,50,3136,32,42,10,5,50,-0.009913333333333338,0.019398647590609785,-0.010291271767929641,0.02088720202089535,-0.009913333333333343,0.019398647590609774
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,80,3136,32,42,10,5,50,-0.010120000000000002,0.018272410835257245,-0.010692344137561425,0.019628476850931918,-0.010119999999999997,0.01827241083525725
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,110,3136,32,42,10,5,50,-0.009800000000000001,0.018602172355037742,-0.010222506846029903,0.019762942500099343,-0.009799999999999993,0.018602172355037756
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,150,3136,32,42,10,5,50,-0.009006666666666677,0.016939332859721087,-0.009322960669153795,0.017595507560824016,-0.009006666666666673,0.016939332859721077
footwear_three_way,within_footwear,fine_minus_random,fine,conv1,200,3136,32,42,10,5,50,-0.008080000000000002,0.014599033919517411,-0.008187146906577574,0.014982168607634943,-0.008080000000000002,0.014599033919517406
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,10,1568,32,42,10,5,50,0.021899999999999996,0.05184186884246521,0.025756835536438826,0.05966965876341985,0.021900000000000027,0.05184186884246521
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,20,1568,32,42,10,5,50,0.025799999999999993,0.035471492178503206,0.027145610195256673,0.03711926687258476,0.025799999999999993,0.035471492178503206
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,30,1568,32,42,10,5,50,0.02852666666666665,0.04203858987345738,0.029255734038958158,0.043245362661489144,0.028526666666666665,0.042038589873457384
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,50,1568,32,42,10,5,50,0.03207333333333333,0.03205170779832357,0.03319157390812537,0.03308603393413869,0.032073333333333315,0.032051707798323566
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,80,1568,32,42,10,5,50,0.03165333333333333,0.026847681548602068,0.03244593131126027,0.027335794659146314,0.03165333333333333,0.026847681548602054
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,110,1568,32,42,10,5,50,0.03298666666666668,0.02474568699679423,0.033519985330564925,0.02522088993295101,0.03298666666666666,0.024745686996794223
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,150,1568,32,42,10,5,50,0.02988666666666667,0.022270203189764092,0.030257981383104184,0.022528986740261155,0.029886666666666686,0.0222702031897641
footwear_three_way,within_footwear,fine_minus_random,fine,conv2,200,1568,32,42,10,5,50,0.03084666666666668,0.01916028701871283,0.03109382416672757,0.01928990668803402,0.03084666666666667,0.01916028701871287
footwear_three_way,within_footwear,fine_minus_random,fine,fc,10,128,32,42,10,5,50,0.17558666666666667,0.05022830236307658,0.1847447760951471,0.05330513777352649,0.17558666666666664,0.05022830236307659
footwear_three_way,within_footwear,fine_minus_random,fine,fc,20,128,32,42,10,5,50,0.15105333333333332,0.03256386434026182,0.15295216609696594,0.032694141917465475,0.15105333333333332,0.03256386434026181
footwear_three_way,within_footwear,fine_minus_random,fine,fc,30,128,32,42,10,5,50,0.13945999999999997,0.029755076550042114,0.14074934330546568,0.030091367147918588,0.13946000000000003,0.02975507655004211
footwear_three_way,within_footwear,fine_minus_random,fine,fc,50,128,32,42,10,5,50,0.12010000000000001,0.022694585646957175,0.12092805159049073,0.023130459262019926,0.12009999999999998,0.022694585646957165
footwear_three_way,within_footwear,fine_minus_random,fine,fc,80,128,32,42,10,5,50,0.10992666666666669,0.022641671893269044,0.11017629526052584,0.02279290743775883,0.10992666666666663,0.02264167189326905
footwear_three_way,within_footwear,fine_minus_random,fine,fc,110,128,32,42,10,5,50,0.10426666666666667,0.019492890732665764,0.10438745858095876,0.019567778481342765,0.10426666666666665,0.019492890732665732
footwear_three_way,within_footwear,fine_minus_random,fine,fc,150,128,32,42,10,5,50,0.10085333333333335,0.01941189293452824,0.10084446188443169,0.019436276064668735,0.10085333333333331,0.019411892934528233
footwear_three_way,within_footwear,fine_minus_random,fine,fc,200,128,32,42,10,5,50,0.09508666666666667,0.01727158152413007,0.0950085150592751,0.017205445492008357,0.09508666666666665,0.017271581524130067
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,10,3136,32,42,10,5,50,-2.220446049250313e-18,0.029556414407926095,1.3924235068927259e-05,0.030295522623511147,6.661338147750939e-18,0.029556414407926092
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,20,3136,32,42,10,5,50,-0.0012599999999999944,0.01567405239136795,-0.0012255858185840117,0.01594650444248398,-0.00125999999999999,0.015674052391367942
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,30,3136,32,42,10,5,50,-0.00032000000000000697,0.01108168188811554,-0.00029178867232760864,0.011262932671267252,-0.00032000000000000474,0.011081681888115537
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,50,3136,32,42,10,5,50,-0.001489999999999998,0.008885605189959591,-0.0014836034201828109,0.008918069903399578,-0.001489999999999998,0.008885605189959591
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,80,3136,32,42,10,5,50,-0.00133,0.011462276192371392,-0.0013299113831634624,0.011485699976905973,-0.001330000000000009,0.011462276192371397
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,110,3136,32,42,10,5,50,0.001630000000000007,0.00841573477699568,0.0016318975734031472,0.008426378960642626,0.001630000000000007,0.008415734776995674
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,150,3136,32,42,10,5,50,0.0008000000000000051,0.008414031041501263,0.0008073153070761374,0.00842277548329849,0.0008000000000000163,0.008414031041501268
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv1,200,3136,32,42,10,5,50,0.0018400000000000083,0.005739622401005356,0.0018444456682904465,0.005744829866874256,0.0018399999999999883,0.0057396224010053416
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,10,1568,32,42,10,5,50,0.015599999999999998,0.05309733072963504,0.015667906416914387,0.05413609047482989,0.015600000000000004,0.053097330729635045
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,20,1568,32,42,10,5,50,0.013980000000000013,0.03730759620632074,0.013980609915217419,0.03754750071610714,0.013979999999999985,0.037307596206320744
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,30,1568,32,42,10,5,50,0.015989999999999997,0.026569794496605292,0.015995677620474408,0.026694022688420454,0.015989999999999994,0.0265697944966053
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,50,1568,32,42,10,5,50,0.012599999999999998,0.026775712418350396,0.012610167037775968,0.0268381576709923,0.012600000000000005,0.026775712418350407
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,80,1568,32,42,10,5,50,0.007230000000000012,0.02278452974977466,0.007232589849264044,0.0228130646476003,0.007229999999999987,0.02278452974977465
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,110,1568,32,42,10,5,50,0.007369999999999992,0.020722857832227035,0.007371117836590917,0.020745371779088095,0.00736999999999999,0.020722857832227035
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,150,1568,32,42,10,5,50,0.005579999999999991,0.018865896236763467,0.005584225802762763,0.018884155133205387,0.005579999999999987,0.01886589623676345
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,conv2,200,1568,32,42,10,5,50,0.0051199999999999935,0.017313602060996164,0.00512170037359438,0.017323108228066913,0.00512,0.01731360206099615
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,10,128,32,42,10,5,50,-0.030300000000000007,0.07514014117851077,-0.030444751264804223,0.07759694444290201,-0.03030000000000001,0.07514014117851078
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,20,128,32,42,10,5,50,-0.009219999999999999,0.04402100148143579,-0.009256590117563577,0.044540728097101925,-0.009220000000000016,0.04402100148143576
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,30,128,32,42,10,5,50,0.0039800000000000035,0.03273080680774177,0.0037905188296341154,0.033252914928541336,0.003979999999999988,0.03273080680774176
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,50,128,32,42,10,5,50,0.0052499999999999925,0.021047383375108062,0.005212496613780433,0.0211581757977912,0.00525000000000001,0.021047383375108048
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,80,128,32,42,10,5,50,0.006499999999999983,0.01653814391283473,0.006485806898185224,0.016584607741867968,0.006499999999999986,0.01653814391283474
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,110,128,32,42,10,5,50,0.006079999999999983,0.011554378973765206,0.006077809651867874,0.011561465730184326,0.006079999999999992,0.011554378973765194
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,150,128,32,42,10,5,50,0.003259999999999985,0.012019643785682415,0.003256024862257061,0.012026042527430603,0.0032599999999999895,0.012019643785682385
sandal_vs_ankle_boot,within_footwear,coarse_minus_random,coarse,fc,200,128,32,42,10,5,50,0.00345,0.010491614727573482,0.0034477830128161525,0.010498995937912797,0.003449999999999993,0.01049161472757345
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,10,3136,32,42,10,5,50,-0.012910000000000001,0.024534999989602537,-0.012932064536790529,0.02483364133683578,-0.01291000000000001,0.024534999989602516
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,20,3136,32,42,10,5,50,-0.011319999999999992,0.017383360563763158,-0.011406240277298111,0.01771841686202837,-0.011319999999999997,0.017383360563763155
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,30,3136,32,42,10,5,50,-0.007719999999999996,0.016136269199336924,-0.007748879835656106,0.0163059502416218,-0.007720000000000012,0.01613626919933693
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,50,3136,32,42,10,5,50,-0.006480000000000001,0.016375055693938628,-0.006491556413704662,0.016424573674233223,-0.006480000000000001,0.01637505569393863
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,80,3136,32,42,10,5,50,-0.005769999999999993,0.01596750846345829,-0.005789154903889684,0.016018250117877907,-0.005769999999999995,0.01596750846345829
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,110,3136,32,42,10,5,50,-0.0031899999999999997,0.01482513378815635,-0.003196951113487816,0.014838897292958066,-0.003190000000000002,0.014825133788156333
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,150,3136,32,42,10,5,50,-0.00376999999999998,0.014961927874250883,-0.0037694092141975235,0.014972594907975012,-0.00376999999999998,0.014961927874250866
sandal_vs_ankle_boot,within_footwear,fine_minus_random,fine,conv1,200,3136,32,42,10,5,50,-0.004369999999999992,0.012633697246746452,-0.004371845015575089,0.01264203947715733,-0.004369999999999996,0.012633697246746442
