task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,110,128,32,42,10,5,50,0.99846,0.001145209632355934,0.9965023527768626,0.0025778954396987754,0.9981514285714287,0.0007859978285099237,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,150,128,32,42,10,5,50,0.9985875,0.0009060630524980324,0.9967873126127026,0.0020449685039418465,0.9981471428571428,0.0007522574660936344,1.0
ankle_boot_vs_non_footwear,cross_pooled,fine_fc,fine,fc,200,128,32,42,10,5,50,0.9986049999999999,0.0009117151363205075,0.9968279513421129,0.0020562800602746314,0.99826,0.0007057448559849827,1.0
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,10,128,32,42,10,5,50,0.9979299999999999,0.001420099881511651,0.9953128735108087,0.0031793958893015246,0.9983885714285714,0.0008114856465780821,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,20,128,32,42,10,5,50,0.9978275,0.0013804137393682945,0.9950809137013907,0.0030884600863910695,0.9983299999999999,0.0007888078510675953,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,30,128,32,42,10,5,50,0.9983325,0.0009132003881841097,0.9962132391792166,0.0020553761940193603,0.9986185714285716,0.0005218287932480624,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,50,128,32,42,10,5,50,0.9984175,0.0007136649087918068,0.9964031213591106,0.0016096332024775444,0.998667142857143,0.0004078085193096098,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,80,128,32,42,10,5,50,0.9985575,0.0005842370308045057,0.9967188447529368,0.001319912318165924,0.9987471428571427,0.0003338497318882887,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,110,128,32,42,10,5,50,0.9985425000000001,0.0005672896985146326,0.9966847214531488,0.0012818399788212486,0.9987385714285715,0.0003241655420083589,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,150,128,32,42,10,5,50,0.9986325,0.0004611224659148989,0.9968878135916267,0.0010436345621329555,0.99879,0.0002634985519513854,0.01
ankle_boot_vs_non_footwear,cross_pooled,coarse_fc,coarse,fc,200,128,32,42,10,5,50,0.9987325,0.000352659357523631,0.9971138633376857,0.0007990318450103168,0.9988471428571429,0.00020151963287065022,0.01
footwear_three_way,within_footwear,constant,constant,constant,10,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,20,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,30,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
