source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,3,44,2,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.062000000000000055,-0.07423232699009619,-0.062000000000000166
42,3,44,3,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.04800000000000004,-0.05091024020557511,-0.04800000000000004
42,3,44,3,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.014666666666666717,-0.014415550900804597,-0.014666666666666717
42,3,44,3,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.07499999999999996,0.06684444683859914,0.07499999999999984
42,3,44,3,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,0.07533333333333325,0.06699252705678393,0.07533333333333336
42,3,44,3,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.17966666666666664,0.1810536305834417,0.17966666666666664
42,3,44,3,footwear_three_way,10,fc,within_footwear,coarse,coarse_fc,128,32,coarse_minus_random,-0.06266666666666665,-0.07355183826684131,-0.06266666666666665
42,3,44,4,footwear_three_way,10,conv1,within_footwear,fine,fine_conv1,3136,32,fine_minus_random,-0.03266666666666662,-0.03671912275945066,-0.03266666666666662
42,3,44,4,footwear_three_way,10,conv1,within_footwear,coarse,coarse_conv1,3136,32,coarse_minus_random,0.008333333333333304,0.010194838014609076,0.008333333333333304
42,3,44,4,footwear_three_way,10,conv2,within_footwear,fine,fine_conv2,1568,32,fine_minus_random,0.014666666666666606,0.014789376510011332,0.014666666666666828
42,3,44,4,footwear_three_way,10,conv2,within_footwear,coarse,coarse_conv2,1568,32,coarse_minus_random,0.0076666666666665995,0.01236186537982742,0.0076666666666667105
42,3,44,4,footwear_three_way,10,fc,within_footwear,fine,fine_fc,128,32,fine_minus_random,0.1456666666666666,0.1474163630319424,0.1456666666666666
