task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
pullover_vs_coat,within_tops,fine,conv2,100,200,1,0.858,0.0,0.857880477481562,0.0,0.858,0.0
pullover_vs_coat,within_tops,fine,fc,5,10,1,0.905,0.0,0.9049984799756796,0.0,0.905,0.0
pullover_vs_coat,within_tops,fine,fc,10,20,1,0.907,0.0,0.9068277244625312,0.0,0.907,0.0
pullover_vs_coat,within_tops,fine,fc,30,60,1,0.915,0.0,0.9149897137553644,0.0,0.915,0.0
pullover_vs_coat,within_tops,fine,fc,100,200,1,0.9165,0.0,0.9164772609342894,0.0,0.9165000000000001,0.0
pullover_vs_coat,within_tops,pixels,pixels,5,10,1,0.576,0.0,0.5758774285768588,0.0,0.5760000000000001,0.0
pullover_vs_coat,within_tops,pixels,pixels,10,20,1,0.6355,0.0,0.6347767666922424,0.0,0.6355,0.0
pullover_vs_coat,within_tops,pixels,pixels,30,60,1,0.7465,0.0,0.7464223418421891,0.0,0.7464999999999999,0.0
pullover_vs_coat,within_tops,pixels,pixels,100,200,1,0.796,0.0,0.7956221052726491,0.0,0.796,0.0
pullover_vs_coat,within_tops,random,conv1,5,10,1,0.578,0.0,0.5763184077604011,0.0,0.5780000000000001,0.0
pullover_vs_coat,within_tops,random,conv1,10,20,1,0.634,0.0,0.6328069899102182,0.0,0.6339999999999999,0.0
pullover_vs_coat,within_tops,random,conv1,30,60,1,0.7905,0.0,0.7904672605094547,0.0,0.7905,0.0
pullover_vs_coat,within_tops,random,conv1,100,200,1,0.811,0.0,0.8107547381406303,0.0,0.8109999999999999,0.0
pullover_vs_coat,within_tops,random,conv2,5,10,1,0.5765,0.0,0.5739409830293198,0.0,0.5765,0.0
pullover_vs_coat,within_tops,random,conv2,10,20,1,0.6625,0.0,0.6609088997850162,0.0,0.6625,0.0
pullover_vs_coat,within_tops,random,conv2,30,60,1,0.762,0.0,0.7612512840267078,0.0,0.762,0.0
pullover_vs_coat,within_tops,random,conv2,100,200,1,0.8205,0.0,0.8203102026515507,0.0,0.8205,0.0
pullover_vs_coat,within_tops,random,fc,5,10,1,0.5685,0.0,0.5662199435784341,0.0,0.5685,0.0
pullover_vs_coat,within_tops,random,fc,10,20,1,0.609,0.0,0.6069051977990713,0.0,0.609,0.0
pullover_vs_coat,within_tops,random,fc,30,60,1,0.735,0.0,0.7347920769883589,0.0,0.735,0.0
pullover_vs_coat,within_tops,random,fc,100,200,1,0.7615,0.0,0.7612922645932623,0.0,0.7615000000000001,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv1,5,10,1,0.8317142857142857,0.0,0.7503631631693695,0.0,0.8655833333333334,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv1,10,20,1,0.9317142857142857,0.0,0.8746943943829535,0.0,0.9185000000000001,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv1,30,60,1,0.9077142857142857,0.0,0.8475264144807961,0.0,0.937,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv1,100,200,1,0.9724285714285714,0.0,0.9468310164158351,0.0,0.9735,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv2,5,10,1,0.9234285714285714,0.0,0.8692499056661767,0.0,0.9465833333333333,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv2,10,20,1,0.9575714285714285,0.0,0.9219493779207741,0.0,0.9698333333333333,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv2,30,60,1,0.9521428571428572,0.0,0.9133111713065523,0.0,0.9679166666666666,0.0
pullover_vs_non_tops,cross_pooled,coarse,conv2,100,200,1,0.972,0.0,0.9463526026026026,0.0,0.9761666666666666,0.0
pullover_vs_non_tops,cross_pooled,coarse,fc,5,10,1,0.976,0.0,0.9519173449346641,0.0,0.9605833333333333,0.0
pullover_vs_non_tops,cross_pooled,coarse,fc,10,20,1,0.9731428571428572,0.0,0.947503496043774,0.0,0.9676666666666667,0.0
pullover_vs_non_tops,cross_pooled,coarse,fc,30,60,1,0.9835714285714285,0.0,0.9676729144682743,0.0,0.9854166666666666,0.0
pullover_vs_non_tops,cross_pooled,coarse,fc,100,200,1,0.9851428571428571,0.0,0.9707304395709018,0.0,0.988,0.0
pullover_vs_non_tops,cross_pooled,constant,constant,5,10,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
pullover_vs_non_tops,cross_pooled,constant,constant,10,20,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
pullover_vs_non_tops,cross_pooled,constant,constant,30,60,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
pullover_vs_non_tops,cross_pooled,constant,constant,100,200,1,0.8571428571428571,0.0,0.46153846153846156,0.0,0.5,0.0
pullover_vs_non_tops,cross_pooled,fine,conv1,5,10,1,0.8705714285714286,0.0,0.7899937693515675,0.0,0.8740833333333333,0.0
pullover_vs_non_tops,cross_pooled,fine,conv1,10,20,1,0.9345714285714286,0.0,0.8759511444067973,0.0,0.9055833333333334,0.0
pullover_vs_non_tops,cross_pooled,fine,conv1,30,60,1,0.9097142857142857,0.0,0.8503865600055409,0.0,0.9390000000000001,0.0
pullover_vs_non_tops,cross_pooled,fine,conv1,100,200,1,0.9714285714285714,0.0,0.945216277527451,0.0,0.9745833333333334,0.0
pullover_vs_non_tops,cross_pooled,fine,conv2,5,10,1,0.9035714285714286,0.0,0.8426781669758998,0.0,0.9375,0.0
pullover_vs_non_tops,cross_pooled,fine,conv2,10,20,1,0.9538571428571428,0.0,0.9143235262632874,0.0,0.9568333333333333,0.0
