seed,task,layer,examples_per_class,task_category,family,n_probe_train,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,coat_vs_shirt,conv2,30,within_tops,fine,60,fine_minus_random,0.01550000000000007,0.015969249142933517,0.01550000000000007
42,coat_vs_shirt,fc,30,within_tops,fine,60,fine_minus_random,0.16900000000000004,0.16956472637439501,0.16900000000000004
42,coat_vs_shirt,conv1,100,within_tops,fine,200,fine_minus_random,0.013000000000000012,0.012993316783246556,0.013000000000000123
42,coat_vs_shirt,conv2,100,within_tops,fine,200,fine_minus_random,0.02849999999999997,0.02848399631699028,0.02849999999999997
42,coat_vs_shirt,fc,100,within_tops,fine,200,fine_minus_random,0.137,0.1371105895521848,0.137
42,tshirt_vs_non_tops,conv1,5,cross_pooled,fine,10,fine_minus_random,-0.02471428571428569,-0.01592782936350101,0.019333333333333313
42,tshirt_vs_non_tops,conv2,5,cross_pooled,fine,10,fine_minus_random,-0.049000000000000044,-0.05276714689190576,-0.018583333333333396
42,tshirt_vs_non_tops,fc,5,cross_pooled,fine,10,fine_minus_random,0.06757142857142862,0.10201589200149441,0.07483333333333331
42,tshirt_vs_non_tops,conv1,10,cross_pooled,fine,20,fine_minus_random,0.05800000000000005,0.07600353792601866,0.059666666666666646
42,tshirt_vs_non_tops,conv2,10,cross_pooled,fine,20,fine_minus_random,-0.012428571428571455,-0.015425133852575268,0.004416666666666735
42,tshirt_vs_non_tops,fc,10,cross_pooled,fine,20,fine_minus_random,0.01942857142857135,0.03712724744202334,0.04258333333333342
42,tshirt_vs_non_tops,conv1,30,cross_pooled,fine,60,fine_minus_random,0.03299999999999992,0.047592494125368257,0.01966666666666661
42,tshirt_vs_non_tops,conv2,30,cross_pooled,fine,60,fine_minus_random,-0.006714285714285673,-0.008895197836297775,0.0060833333333333295
42,tshirt_vs_non_tops,fc,30,cross_pooled,fine,60,fine_minus_random,0.017857142857142794,0.03371119047538862,0.03124999999999989
