source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,3,44,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.015249999999999986,-0.014852653401718485,-0.015250000000000041
42,3,44,3,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.18574999999999997,0.18218541887452355,0.18574999999999997
42,3,44,3,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.030500000000000027,-0.02339772354360864,-0.03049999999999997
42,3,44,4,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.02899999999999997,0.026954898001283478,0.02899999999999997
42,3,44,4,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,0.029249999999999998,0.02575777458341577,0.029249999999999998
42,3,44,4,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.0025000000000000022,0.0019028097902882846,0.0024999999999999467
42,3,44,4,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.034499999999999975,0.02871695871826757,0.034499999999999975
42,3,44,4,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.20724999999999993,0.22135596697935556,0.20725000000000005
42,3,44,4,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,-0.008250000000000035,0.014059984757720634,-0.00824999999999998
42,4,45,0,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.014749999999999985,-0.016411427568771286,-0.01474999999999993
42,4,45,0,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.00824999999999998,-0.0054527087078764525,-0.00824999999999998
42,4,45,0,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,-0.0004999999999999449,-0.010678375373716131,-0.000500000000000056
42,4,45,0,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,-0.03674999999999995,-0.02848194393743536,-0.036750000000000116
42,4,45,0,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.23574999999999996,0.24804345723527654,0.23575000000000002
42,4,45,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.02724999999999994,0.04713341170178931,0.027249999999999996
42,4,45,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.005750000000000033,0.007507126900702432,0.005749999999999922
42,4,45,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.019000000000000017,-0.014701779101700119,-0.019000000000000017
42,4,45,1,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.06824999999999998,0.0885302740172138,0.06824999999999992
42,4,45,1,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.028249999999999942,0.032927336138331875,0.028249999999999997
42,4,45,1,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.19000000000000006,0.21001905788629865,0.1899999999999999
42,4,45,1,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.03649999999999998,0.0574595842563948,0.03649999999999992
