task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
coat_vs_non_tops,cross_pooled,random_fc,random,fc,30,128,32,42,10,5,50,0.8641571428571428,0.03712129055422905,0.7905696229204654,0.04035124622093289,0.8912750000000002,0.019668419514299464,1.0
coat_vs_non_tops,cross_pooled,random_fc,random,fc,50,128,32,42,10,5,50,0.8844371428571429,0.035471952303896326,0.8156407645765337,0.0421714988866166,0.9039966666666668,0.017195166224744637,0.1
coat_vs_non_tops,cross_pooled,random_fc,random,fc,80,128,32,42,10,5,50,0.9040400000000001,0.024883318545916654,0.8399991842771662,0.03237241698736143,0.9163316666666667,0.013804314390978952,1.0
coat_vs_non_tops,cross_pooled,random_fc,random,fc,110,128,32,42,10,5,50,0.9105828571428571,0.021714877236073862,0.8488421572328525,0.028579281242695164,0.9214233333333334,0.010929671591060527,1.0
coat_vs_non_tops,cross_pooled,random_fc,random,fc,150,128,32,42,10,5,50,0.9143057142857144,0.019014276185946918,0.8540632807101054,0.02535044901914567,0.9251616666666668,0.009629523556381319,1.0
coat_vs_non_tops,cross_pooled,random_fc,random,fc,200,128,32,42,10,5,50,0.9180371428571429,0.017638222145853366,0.8594580205167307,0.024057105662381475,0.9286299999999998,0.00944489868188701,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,10,128,32,42,10,5,50,0.9262142857142858,0.05425517976603922,0.8798859500487819,0.0700493223063295,0.9423666666666665,0.028366931859636357,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,20,128,32,42,10,5,50,0.9556542857142857,0.021766204809369392,0.9196024935603969,0.03383716415802914,0.9598233333333333,0.010333204958605706,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,30,128,32,42,10,5,50,0.9590571428571428,0.019919496455116682,0.925249903564896,0.03182943948091966,0.9628833333333333,0.007392694193434612,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,50,128,32,42,10,5,50,0.9630999999999998,0.017925786433012708,0.931872386351499,0.02876185387873553,0.9662666666666666,0.006694986617237452,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,80,128,32,42,10,5,50,0.97024,0.011927290481318015,0.9435094527829243,0.02004633936407636,0.9705733333333335,0.004578016086965741,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,110,128,32,42,10,5,50,0.9730171428571428,0.007618159326254598,0.9481081406353646,0.013202578619989103,0.9728016666666668,0.003952448722884258,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,150,128,32,42,10,5,50,0.973542857142857,0.007022543576514731,0.9490765516569601,0.01209765153167043,0.9737583333333333,0.00341179966940133,1.0
coat_vs_non_tops,cross_pooled,fine_fc,fine,fc,200,128,32,42,10,5,50,0.9730371428571428,0.00633454462794934,0.9482734517349841,0.010994083967370123,0.975255,0.0029302361702779997,1.0
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,10,128,32,42,10,5,50,0.9623657142857144,0.022180456368870363,0.9317007868314728,0.034695373448576046,0.9698966666666666,0.00913795069242238,0.01
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,20,128,32,42,10,5,50,0.9723457142857143,0.009639140413182055,0.9473741369383981,0.01616870068758706,0.9750683333333334,0.004223446124379107,0.01
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,30,128,32,42,10,5,50,0.9726742857142857,0.007653308295331515,0.94787913634432,0.013120619175219414,0.9761516666666666,0.0026419823734608722,1.0
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,50,128,32,42,10,5,50,0.9741885714285715,0.005890747656708673,0.9504810579205611,0.010162722712584858,0.9774516666666667,0.0034552159952304213,0.01
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,80,128,32,42,10,5,50,0.9768199999999999,0.0032689788019089764,0.9550256350632707,0.005696060343816959,0.9782949999999999,0.002526010383598994,1.0
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,110,128,32,42,10,5,50,0.9769114285714285,0.002656965729699265,0.9551967057708386,0.004674507820555907,0.978715,0.0019631013745608546,1.0
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,150,128,32,42,10,5,50,0.9762885714285714,0.003263710069115148,0.9541205442477593,0.0057395256255990835,0.978785,0.0017425001260666716,1.0
coat_vs_non_tops,cross_pooled,coarse_fc,coarse,fc,200,128,32,42,10,5,50,0.9756885714285715,0.0036292910376639993,0.9531415428686594,0.006361658633906732,0.9795433333333332,0.0019434493728555493,1.0
coat_vs_shirt,within_tops,constant,constant,constant,10,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,20,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,30,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,50,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
